"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"overdrawn",12,"existing paid","new car",1228,"low savings","1-3 years",4,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"low balance",34.96729044,"delayed previously","other",2668.624768,"low savings","1-3 years",3.896729044,"female div/dep/mar","co applicant",4,"life insurance",49.63855165,"bank","for free",1,"skilled",1,"none","yes","bad"
"overdrawn",36,"critical/order existing credit","furniture/equipment",6229,"low savings","less than 1 year",4,"female div/dep/mar","co applicant",4,"no known property",23,"stores","rent",2,"unskilled resident",1,"yes","yes","bad"
"low balance",18,"no credits/all paid","new car",2278,"low savings","less than 1 year",3,"female div/dep/mar","none",3,"car",28,"stores","own",2,"skilled",1,"none","yes","bad"
"adequate balance",11.27986623,"delayed previously","education",1126.12058,"low savings","1-3 years",4,"female div/dep/mar","none",3.759955409,"car",29.72013377,"stores","own",1.240044591,"unemp/unskilled non res",1.240044591,"none","yes","bad"
"no checking",18,"delayed previously","business",2169,"low savings","1-3 years",4,"male mar/wid","none",2,"car",28,"stores","own",1,"skilled",1,"yes","yes","bad"
"low balance",18,"no credits/all paid","new car",2278,"low savings","less than 1 year",3,"female div/dep/mar","none",3,"car",28,"stores","own",2,"skilled",1,"none","yes","bad"
"overdrawn",21,"all paid","new car",1647,"no known savings","1-3 years",4,"male single","none",2,"life insurance",40,"stores","own",2,"unskilled resident",2,"none","yes","bad"
"overdrawn",48,"existing paid","furniture/equipment",3927.695539,"low savings","1-3 years",4,"male mar/wid","none",3.611239932,"no known property",44.44495973,"bank","for free",1,"skilled",1.805619966,"none","yes","bad"
"overdrawn",20.03581822,"existing paid","new car",1281.366167,"high savings","4-6 years",3.669651519,"female div/dep/mar","none",3.008954556,"no known property",33.65174241,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",9,"existing paid","new car",654,"low savings","1-3 years",4,"male single","none",3,"car",28,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"overdrawn",41.18876152,"existing paid","other",1843.729587,"low savings","1-3 years",4,"male div/sep","none",4,"life insurance",27.65818037,"stores","for free",1,"skilled",1,"yes","yes","bad"
"overdrawn",15,"existing paid","domestic appliance",1275,"no known savings","1-3 years",4,"female div/dep/mar","none",2,"car",24,"stores","rent",1,"skilled",1,"none","yes","bad"
"adequate balance",17.41541629,"existing paid","new car",1383.743577,"low savings","1-3 years",2.902569382,"female div/dep/mar","none",2,"life insurance",30.06156222,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",27,"critical/order existing credit","radio/tv",2520,"low savings","1-3 years",4,"male single","none",2,"life insurance",23,"stores","own",2,"unskilled resident",1,"none","yes","bad"
"overdrawn",48,"no credits/all paid","used car",4605,"low savings","7 or more years",3,"male single","none",4,"no known property",24,"stores","for free",2,"skilled",2,"none","yes","bad"
"adequate balance",16.76596599,"critical/order existing credit","radio/tv",1551.425526,"low savings","less than 1 year",4,"male single","guarantor",4,"life insurance",42.68792119,"bank","for free",1.602836167,"skilled",1.602836167,"none","yes","bad"
"adequate balance",18,"existing paid","radio/tv",2100,"low savings","1-3 years",4,"male single","co applicant",2,"real estate",37,"unknown","own",1,"skilled",1,"none","yes","bad"
"overdrawn",36,"existing paid","furniture/equipment",5179,"low savings","4-6 years",4,"male single","none",2,"life insurance",29,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",24.80311271,"existing paid","furniture/equipment",2365.29105,"low savings","7 or more years",1.401556356,"female div/dep/mar","none",1.401556356,"life insurance",31.66147881,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"no credits/all paid","repairs",1108,"low savings","4-6 years",4,"male single","none",3,"real estate",28,"stores","own",2,"skilled",1,"none","yes","bad"
"low balance",12.39231602,"existing paid","new car",1080.299964,"low savings","1-3 years",3.934613997,"male single","guarantor",3.934613997,"car",46.82305195,"bank","own",2,"skilled",1,"none","yes","bad"
"low balance",21.04824259,"critical/order existing credit","other",2543.410246,"low savings","1-3 years",4,"male single","none",1.603216173,"life insurance",26.96783827,"stores","own",1.603216173,"unskilled resident",1.396783827,"none","yes","bad"
"low balance",36,"existing paid","business",1958.679254,"low savings","7 or more years",4,"male single","none",4,"no known property",56.03065288,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",15.70952331,"existing paid","new car",1220.580953,"low savings","4-6 years",4,"female div/dep/mar","none",2.618253884,"life insurance",23.38174612,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",18,"existing paid","radio/tv",1882,"low savings","1-3 years",4,"female div/dep/mar","none",4,"car",25,"bank","rent",2,"skilled",1,"none","yes","bad"
"low balance",15,"all paid","new car",6850,"low savings","unemployed",1,"male single","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"low balance",16.44752199,"delayed previously","business",1191.034985,"low savings","7 or more years",2.606997068,"female div/dep/mar","none",4,"life insurance",37.78600586,"stores","for free",1,"skilled",1.696501466,"none","yes","bad"
"low balance",48,"existing paid","new car",6560,"low savings","4-6 years",3,"male single","none",2,"life insurance",24,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",9.534628089,"critical/order existing credit","education",1506.880909,"low savings","less than 1 year",1.821790637,"female div/dep/mar","none",2.643581274,"car",32.03969701,"stores","own",1.821790637,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",16.44752199,"delayed previously","business",1191.034985,"low savings","7 or more years",2.606997068,"female div/dep/mar","none",4,"life insurance",37.78600586,"stores","for free",1,"skilled",1.696501466,"none","yes","bad"
"adequate balance",9.733059466,"existing paid","other",738.646818,"low savings","1-3 years",3.244353155,"female div/dep/mar","none",2.488706311,"no known property",31.17659102,"bank","own",1,"unskilled resident",1.244353155,"none","yes","bad"
"low balance",14.37990961,"critical/order existing credit","new car",1541.53638,"low savings","4-6 years",2.189954806,"male mar/wid","none",1.793303204,"life insurance",31.32968364,"bank","own",1,"skilled",1,"none","yes","bad"
"low balance",36.153834,"critical/order existing credit","furniture/equipment",5186.820606,"low savings","less than 1 year",3.316240667,"male div/sep","none",2.341879667,"car",28.68375933,"stores","own",1.658120333,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",48,"existing paid","furniture/equipment",3927.695539,"low savings","1-3 years",4,"male mar/wid","none",3.611239932,"no known property",44.44495973,"bank","for free",1,"skilled",1.805619966,"none","yes","bad"
"low balance",6,"delayed previously","new car",1209,"low savings","unemployed",4,"male single","none",4,"life insurance",47,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",24,"delayed previously","radio/tv",1659,"low savings","less than 1 year",4,"female div/dep/mar","none",2,"car",29,"stores","rent",1,"unskilled resident",1,"yes","yes","bad"
"low balance",20.8624162,"delayed previously","business",1188.091723,"low savings","7 or more years",2,"female div/dep/mar","none",4,"life insurance",39.73378026,"stores","for free",1.091722533,"skilled",2,"none","yes","bad"
"low balance",12.67330075,"existing paid","new car",1294.438916,"low savings","4-6 years",3.056108395,"female div/dep/mar","none",1.168325186,"car",25.39275877,"stores","rent",1,"skilled",1,"none","yes","bad"
"no checking",24,"existing paid","business",4591,"high savings","1-3 years",2,"male single","none",3,"life insurance",54,"stores","own",3,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",42,"existing paid","radio/tv",7174,"no known savings","4-6 years",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",15,"all paid","new car",1264,"low savings","1-3 years",2,"male mar/wid","none",2,"life insurance",25,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",48,"all paid","business",7688.056533,"low savings","4-6 years",2.078372653,"female div/dep/mar","guarantor",4,"car",37.19593163,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",34.79008387,"existing paid","new car",3942.208414,"low savings","1-3 years",3.599699511,"male div/sep","none",3.199399022,"life insurance",39.19489169,"stores","for free",1,"skilled",1.599699511,"none","yes","bad"
"overdrawn",26.86497056,"delayed previously","new car",5153.534244,"low savings","less than 1 year",2.954990187,"male div/sep","none",2.696673209,"car",28.3483366,"bank","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",12.39231602,"existing paid","new car",1080.299964,"low savings","1-3 years",3.934613997,"male single","guarantor",3.934613997,"car",46.82305195,"bank","own",2,"skilled",1,"none","yes","bad"
"low balance",39.94143363,"existing paid","new car",6539.405886,"low savings","4-6 years",2.776150934,"male single","none",1.776150934,"life insurance",30.26777385,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",14.86316232,"existing paid","new car",903.5789529,"no known savings","1-3 years",4,"male div/sep","none",2,"car",24.43158116,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"existing paid","domestic appliance",741,"low savings","unemployed",4,"female div/dep/mar","none",3,"life insurance",22,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",48,"existing paid","radio/tv",5951,"low savings","1-3 years",2,"female div/dep/mar","none",2,"real estate",22,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",39.89698178,"critical/order existing credit","other",4763.253062,"low savings","4-6 years",3.513998264,"male single","guarantor",2.243000868,"life insurance",26.45800521,"stores","own",1.756999132,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",24,"delayed previously","furniture/equipment",2057.477659,"low savings","7 or more years",2.478212753,"female div/dep/mar","none",1.739106377,"life insurance",30.86927652,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"adequate balance",9.895130833,"existing paid","new car",1311.936337,"high savings","1-3 years",4,"male single","guarantor",3.790261667,"car",27.73408417,"stores","own",1.104869167,"unemp/unskilled non res",1,"none","yes","bad"
"adequate balance",12.49750204,"critical/order existing credit","radio/tv",1554.626873,"low savings","less than 1 year",4,"male single","guarantor",4,"life insurance",53.7147864,"bank","for free",1.958541497,"skilled",1.958541497,"none","yes","bad"
"overdrawn",10.92229001,"critical/order existing credit","education",3393.84458,"low savings","1-3 years",1.328152667,"male div/sep","none",3.015541998,"no known property",38.09325199,"stores","own",1.328152667,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",24,"existing paid","new car",3123,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"life insurance",27,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",28.76218576,"existing paid","new car",1838.622353,"low savings","4-6 years",3.51747905,"female div/dep/mar","none",3.034958101,"life insurance",29.65731145,"stores","own",1.48252095,"skilled",1,"yes","yes","bad"
"overdrawn",36,"existing paid","furniture/equipment",1838.789306,"low savings","4-6 years",4,"female div/dep/mar","none",4,"car",34.41878615,"stores","for free",1,"skilled",1,"yes","yes","bad"
"overdrawn",18,"critical/order existing credit","repairs",1190,"low savings","unemployed",2,"female div/dep/mar","none",4,"no known property",55,"stores","for free",3,"unemp/unskilled non res",2,"none","yes","bad"
"adequate balance",13.07045194,"existing paid","new car",1385.553978,"low savings","1-3 years",2.178408657,"female div/dep/mar","none",2,"life insurance",26.80283896,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",48,"existing paid","new car",3931,"low savings","4-6 years",4,"male single","none",4,"no known property",46,"stores","for free",1,"skilled",2,"none","yes","bad"
"low balance",46.54763618,"existing paid","education",6315.801552,"low savings","4-6 years",4,"male single","none",4,"life insurance",37.0674666,"stores","for free",1,"skilled",1,"none","yes","bad"
"overdrawn",14.7729871,"existing paid","new car",903.4662339,"no known savings","1-3 years",4,"male div/sep","none",2,"car",24.38649355,"bank","own",1,"skilled",1,"none","yes","bad"
"low balance",48,"existing paid","radio/tv",3060,"low savings","4-6 years",4,"male single","none",4,"real estate",28,"stores","own",2,"skilled",1,"none","yes","bad"
"low balance",48,"existing paid","new car",6560,"low savings","4-6 years",3,"male single","none",2,"life insurance",24,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",26.17037644,"critical/order existing credit","domestic appliance",3141.828341,"low savings","1-3 years",3.276541188,"male mar/wid","none",2.723458812,"life insurance",31,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",18.01557015,"existing paid","education",3114.121966,"low savings","4-6 years",1.007785073,"female div/dep/mar","none",3.994809951,"life insurance",26.01297512,"stores","rent",1,"skilled",1,"none","yes","bad"
"low balance",24,"all paid","education",1837,"low savings","4-6 years",4,"female div/dep/mar","none",4,"no known property",34,"bank","for free",1,"unskilled resident",1,"none","yes","bad"
"overdrawn",12,"existing paid","domestic appliance",741,"low savings","unemployed",4,"female div/dep/mar","none",3,"life insurance",22,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",12.92431417,"critical/order existing credit","education",1133.819825,"low savings","7 or more years",4,"male div/sep","none",2.563965092,"life insurance",32.43603491,"stores","for free",1.563965092,"skilled",1.563965092,"none","yes","bad"
"no checking",36,"existing paid","furniture/equipment",3349,"low savings","1-3 years",4,"female div/dep/mar","none",2,"car",28,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",21.25870011,"existing paid","new car",2310.310133,"low savings","less than 1 year",3.390822246,"male mar/wid","co applicant",1.609177754,"real estate",38.90822246,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",24,"all paid","radio/tv",1546,"low savings","4-6 years",4,"male single","guarantor",4,"car",24,"bank","rent",1,"unskilled resident",1,"none","yes","bad"
"no checking",18,"critical/order existing credit","new car",2775,"low savings","4-6 years",2,"male single","none",2,"life insurance",31,"bank","own",2,"skilled",1,"none","yes","bad"
"no checking",18,"existing paid","furniture/equipment",1533,"low savings","less than 1 year",4,"male mar/wid","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"no checking",9,"existing paid","radio/tv",1478,"low savings","4-6 years",4,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",12,"existing paid","furniture/equipment",684.7374052,"low savings","1-3 years",2.525189588,"male mar/wid","none",3.262594794,"car",28.93892191,"bank","own",1,"unskilled resident",1.262594794,"none","yes","bad"
"adequate balance",13.07045194,"existing paid","new car",1385.553978,"low savings","1-3 years",2.178408657,"female div/dep/mar","none",2,"life insurance",26.80283896,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",12,"existing paid","radio/tv",1331,"low savings","less than 1 year",2,"male single","none",1,"car",22,"unknown","own",1,"skilled",1,"none","yes","bad"
"overdrawn",29.44616224,"existing paid","furniture/equipment",3109.384594,"low savings","less than 1 year",2.184612587,"female div/dep/mar","none",3.723081119,"life insurance",30.63077483,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",12,"existing paid","radio/tv",727,"low savings","less than 1 year",4,"male mar/wid","none",3,"no known property",33,"stores","own",1,"unskilled resident",1,"yes","yes","bad"
"adequate balance",31.79207352,"existing paid","new car",3355.48722,"low savings","1-3 years",3.82466973,"female div/dep/mar","none",2.35066054,"car",29.22731189,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"adequate balance",21,"critical/order existing credit","education",2319,"low savings","less than 1 year",2,"male div/sep","none",1,"car",33,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",18.63469642,"delayed previously","domestic appliance",1215.095911,"low savings","1-3 years",4,"male mar/wid","none",3.105782737,"no known property",48.37517558,"stores","own",1.105782737,"unskilled resident",1,"none","yes","bad"
"low balance",21.34588662,"critical/order existing credit","other",1216,"low savings","less than 1 year",4,"male div/sep","none",3.55764777,"life insurance",31.36471655,"bank","own",1.55764777,"skilled",1.55764777,"none","yes","bad"
"low balance",24,"all paid","domestic appliance",3143.838033,"low savings","1-3 years",3.751275846,"male mar/wid","none",2,"car",28.76148261,"stores","rent",1,"skilled",1,"yes","yes","bad"
"no checking",9,"existing paid","radio/tv",1478,"low savings","4-6 years",4,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",9.307342071,"existing paid","other",1366.307342,"low savings","4-6 years",3.020489471,"female div/dep/mar","none",3.959021057,"life insurance",22.26636313,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",21.7232545,"delayed previously","other",1835.48217,"low savings","1-3 years",3.241084832,"female div/dep/mar","none",2.482169665,"no known property",27.16976349,"bank","for free",1.758915168,"skilled",1,"none","yes","bad"
"low balance",41.10682474,"critical/order existing credit","education",6029.267799,"low savings","1-3 years",4,"male single","none",3.138353092,"no known property",30.18212113,"bank","for free",1,"skilled",1,"none","yes","bad"
"low balance",15,"all paid","new car",6850,"low savings","unemployed",1,"male single","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"low balance",6,"all paid","education",433,"high savings","less than 1 year",4,"female div/dep/mar","none",2,"life insurance",24,"bank","rent",1,"skilled",2,"none","yes","bad"
"overdrawn",46.06061943,"delayed previously","domestic appliance",4328.040266,"low savings","4-6 years",3,"female div/dep/mar","none",3.353539809,"life insurance",24.64646019,"bank","own",1.323230096,"skilled",1.323230096,"none","yes","bad"
"low balance",18,"existing paid","furniture/equipment",1924,"no known savings","less than 1 year",4,"female div/dep/mar","none",3,"real estate",27,"stores","rent",1,"skilled",1,"none","yes","bad"
"low balance",24,"critical/order existing credit","furniture/equipment",4774.391565,"low savings","4-6 years",2,"male div/sep","guarantor",3.526030059,"car",27.84381965,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"no checking",18,"existing paid","furniture/equipment",1533,"low savings","less than 1 year",4,"male mar/wid","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"overdrawn",14.91714968,"critical/order existing credit","other",1271.08285,"high savings","1-3 years",3,"male mar/wid","none",3.917149684,"no known property",38.94476646,"stores","for free",1.972383228,"skilled",1,"none","yes","bad"
"overdrawn",29.40009068,"existing paid","furniture/equipment",2409.299501,"low savings","4-6 years",4,"female div/dep/mar","none",4,"real estate",24.19981865,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",27.96303035,"existing paid","furniture/equipment",3346.32101,"low savings","less than 1 year",4,"male mar/wid","none",2,"car",35.36722218,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",24,"existing paid","radio/tv",3621,"low savings","7 or more years",2,"male single","none",4,"car",31,"stores","own",2,"skilled",1,"none","yes","bad"
"overdrawn",18,"existing paid","radio/tv",3190,"low savings","1-3 years",2,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",13.86681334,"existing paid","furniture/equipment",950.3777289,"low savings","less than 1 year",4,"male div/sep","none",3.377728886,"car",30.73362668,"bank","rent",2.755457772,"skilled",1.622271114,"none","yes","bad"
"overdrawn",36,"existing paid","education",1977,"no known savings","7 or more years",4,"male single","none",4,"no known property",40,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",36,"existing paid","education",1819,"low savings","1-3 years",4,"male single","none",4,"no known property",37,"unknown","for free",1,"skilled",1,"yes","yes","bad"
"low balance",24,"delayed previously","furniture/equipment",2057.477659,"low savings","7 or more years",2.478212753,"female div/dep/mar","none",1.739106377,"life insurance",30.86927652,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",24,"existing paid","new car",1442,"low savings","4-6 years",4,"female div/dep/mar","none",4,"car",23,"stores","rent",2,"skilled",1,"none","yes","bad"
"overdrawn",18,"existing paid","education",750,"low savings","unemployed",4,"female div/dep/mar","none",1,"real estate",27,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",12,"critical/order existing credit","new car",690.5473927,"low savings","less than 1 year",3.849130906,"male mar/wid","none",3,"car",34.24565453,"bank","own",1.924565453,"skilled",1,"none","yes","bad"
"overdrawn",24,"existing paid","new car",1381,"no known savings","1-3 years",4,"female div/dep/mar","none",2,"life insurance",35,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"existing paid","new car",2579,"low savings","less than 1 year",4,"male single","none",1,"real estate",33,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"low balance",30,"no credits/all paid","business",4280,"low savings","1-3 years",4,"female div/dep/mar","none",4,"car",26,"stores","rent",2,"unskilled resident",1,"none","yes","bad"
"no checking",14.51566834,"delayed previously","domestic appliance",2186.8572,"low savings","1-3 years",3.128917085,"male mar/wid","none",2,"life insurance",26.69337563,"bank","own",1,"skilled",1,"none","yes","bad"
"adequate balance",10.02748601,"existing paid","new car",1308.807598,"high savings","1-3 years",3.986256996,"male mar/wid","guarantor",3.958770988,"car",26.97251399,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",9,"existing paid","new car",1422,"low savings","less than 1 year",3,"male single","none",2,"no known property",27,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",9,"critical/order existing credit","education",1501,"low savings","7 or more years",2,"female div/dep/mar","none",3,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",9.583668494,"all paid","business",538.1209425,"low savings","less than 1 year",4,"female div/dep/mar","none",1.402721918,"no known property",25.19455616,"bank","own",1,"skilled",1.402721918,"none","yes","bad"
"low balance",33.44345115,"delayed previously","domestic appliance",2147.130457,"low savings","1-3 years",2.85218295,"male div/sep","guarantor",1.426091475,"car",24,"bank","own",1.573908525,"skilled",1,"none","yes","bad"
"adequate balance",46.4063872,"existing paid","business",3899.391883,"high savings","1-3 years",4,"female div/dep/mar","none",1.867198934,"no known property",38.53120427,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",36,"all paid","furniture/equipment",2746,"low savings","7 or more years",4,"male single","none",4,"car",31,"bank","own",1,"skilled",1,"none","yes","bad"
"low balance",9,"critical/order existing credit","education",1501,"low savings","7 or more years",2,"female div/dep/mar","none",3,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",24,"all paid","domestic appliance",3143.838033,"low savings","1-3 years",3.751275846,"male mar/wid","none",2,"car",28.76148261,"stores","rent",1,"skilled",1,"yes","yes","bad"
"low balance",9,"existing paid","furniture/equipment",918,"low savings","1-3 years",4,"female div/dep/mar","none",1,"life insurance",30,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",11.37994692,"existing paid","furniture/equipment",903.7203185,"high savings","1-3 years",4,"male div/sep","none",1.79331564,"car",24.44679052,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",38.14333007,"critical/order existing credit","domestic appliance",4290.257994,"low savings","1-3 years",1.685777343,"female div/dep/mar","none",4,"car",23.34288867,"stores","own",1.657111329,"skilled",1,"none","yes","bad"
"overdrawn",36,"existing paid","furniture/equipment",1838.789306,"low savings","4-6 years",4,"female div/dep/mar","none",4,"car",34.41878615,"stores","for free",1,"skilled",1,"yes","yes","bad"
"low balance",45,"existing paid","radio/tv",3031,"low savings","1-3 years",4,"male single","guarantor",4,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",18,"existing paid","used car",7511,"no known savings","7 or more years",1,"male single","none",4,"life insurance",51,"stores","for free",1,"skilled",2,"yes","yes","bad"
"overdrawn",18,"critical/order existing credit","furniture/equipment",2124,"low savings","1-3 years",4,"female div/dep/mar","none",4,"real estate",24,"stores","rent",2,"skilled",1,"none","yes","bad"
"overdrawn",20.30960307,"existing paid","new car",2312.841058,"low savings","less than 1 year",3.179911794,"male div/sep","co applicant",1.820088206,"real estate",36.79911794,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",24,"existing paid","business",4591,"high savings","1-3 years",2,"male single","none",3,"life insurance",54,"stores","own",3,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"adequate balance",15.95062074,"critical/order existing credit","education",2162.168736,"low savings","1-3 years",4,"male div/sep","none",1.65843679,"car",28.34156321,"stores","for free",1,"skilled",1,"none","yes","bad"
"low balance",20.8624162,"delayed previously","business",1188.091723,"low savings","7 or more years",2,"female div/dep/mar","none",4,"life insurance",39.73378026,"stores","for free",1.091722533,"skilled",2,"none","yes","bad"
"overdrawn",9,"existing paid","new car",1422,"low savings","less than 1 year",3,"male single","none",2,"no known property",27,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",9,"critical/order existing credit","education",1136,"high savings","7 or more years",4,"male single","none",3,"no known property",32,"stores","for free",2,"skilled",2,"none","yes","bad"
"low balance",30,"critical/order existing credit","new car",4249,"low savings","unemployed",4,"male mar/wid","none",2,"car",28,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",24,"delayed previously","radio/tv",1024,"low savings","less than 1 year",4,"male mar/wid","none",4,"real estate",48,"unknown","own",1,"skilled",1,"none","yes","bad"
"low balance",24,"existing paid","used car",4113,"low savings","less than 1 year",3,"female div/dep/mar","none",4,"car",28,"stores","rent",1,"skilled",1,"none","yes","bad"
"adequate balance",12,"all paid","business",609,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"real estate",26,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",19.75533109,"critical/order existing credit","new car",1254.489338,"low savings","4-6 years",3.056740243,"male mar/wid","none",2,"no known property",23.94325976,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",22.59006658,"existing paid","furniture/equipment",7834.994811,"low savings","7 or more years",4,"male single","none",4,"no known property",49.76414632,"bank","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",42.72308849,"existing paid","other",1844.241029,"low savings","1-3 years",4,"male mar/wid","none",4,"life insurance",25.78289185,"stores","for free",1,"skilled",1,"yes","yes","bad"
"overdrawn",24,"existing paid","furniture/equipment",3234,"low savings","less than 1 year",4,"female div/dep/mar","none",4,"real estate",23,"stores","rent",1,"unskilled resident",1,"yes","yes","bad"
"overdrawn",12,"existing paid","domestic appliance",741,"low savings","unemployed",4,"female div/dep/mar","none",3,"life insurance",22,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",29.44616224,"existing paid","furniture/equipment",3109.384594,"low savings","less than 1 year",2.184612587,"female div/dep/mar","none",3.723081119,"life insurance",30.63077483,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",24,"existing paid","radio/tv",1282,"low savings","1-3 years",4,"female div/dep/mar","none",2,"car",32,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"low balance",35.13728812,"existing paid","business",4287.991337,"low savings","1-3 years",3.714595104,"female div/dep/mar","none",4,"car",25.42919021,"stores","rent",1.714595104,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",16.31623892,"delayed previously","education",2579.479582,"low savings","less than 1 year",4,"male single","none",1.479582102,"real estate",36.83665681,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"overdrawn",30,"existing paid","furniture/equipment",6350,"no known savings","7 or more years",4,"male single","none",4,"life insurance",31,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",8,"existing paid","furniture/equipment",1237,"low savings","1-3 years",3,"female div/dep/mar","none",4,"real estate",24,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",15,"existing paid","new car",2631,"low savings","1-3 years",2,"female div/dep/mar","none",4,"car",28,"stores","rent",2,"skilled",1,"yes","yes","bad"
"overdrawn",22.63552445,"existing paid","radio/tv",2317.91009,"low savings","4-6 years",2.727192805,"female div/dep/mar","none",3.363596403,"life insurance",27.18157842,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"adequate balance",9.952677444,"delayed previously","education",1977.141968,"low savings","less than 1 year",2.127023659,"female div/dep/mar","co applicant",2.127023659,"car",19.76214196,"stores","own",2,"skilled",1,"none","yes","bad"
